dates,Close,NASDAQ_Change
2/5/1971,100,0.00000
2/8/1971,100.839996,0.00840
2/9/1971,100.760002,-0.00080
2/10/1971,100.690002,-0.00070
2/11/1971,101.449997,0.00750
2/12/1971,102.050003,0.00590
2/16/1971,102.190002,0.00140
2/17/1971,101.739998,-0.00440
2/18/1971,101.419998,-0.00310
2/19/1971,100.699997,-0.00710
2/22/1971,99.68,-0.01010
2/23/1971,99.720001,0.00040
2/24/1971,100.639999,0.00920
2/25/1971,101.230003,0.00590
2/26/1971,101.339996,0.00110
3/1/1971,101.779999,0.00430
3/2/1971,101.839996,0.00060
3/3/1971,102.07,0.00230
3/4/1971,102.779999,0.00700
3/5/1971,103,0.00210
3/8/1971,104.230003,0.01190
3/9/1971,104.410004,0.00170
3/10/1971,104.139999,-0.00260
3/11/1971,104.260002,0.00120
3/12/1971,104.5,0.00230
3/15/1971,105.129997,0.00600
3/16/1971,105.559998,0.00410
3/17/1971,105.5,-0.00060
3/18/1971,105.879997,0.00360
3/19/1971,105.769997,-0.00100
3/22/1971,105.370003,-0.00380
3/23/1971,105.110001,-0.00250
3/24/1971,104.699997,-0.00390
3/25/1971,104.599998,-0.00100
3/26/1971,105.07,0.00450
3/29/1971,105.199997,0.00120
3/30/1971,105.440002,0.00230
3/31/1971,105.970001,0.00500
4/1/1971,106.339996,0.00350
4/2/1971,106.860001,0.00490
4/5/1971,107.169998,0.00290
4/6/1971,107.559998,0.00360
4/7/1971,108.059998,0.00460
4/8/1971,108.379997,0.00300
4/12/1971,108.870003,0.00450
4/13/1971,108.849998,-0.00020
4/14/1971,109.080002,0.00210
4/15/1971,109.690002,0.00560
4/16/1971,109.959999,0.00250
4/19/1971,110.160004,0.00180
4/20/1971,109.529999,-0.00570
4/21/1971,109.519997,-0.00010
4/22/1971,109.989998,0.00430
4/23/1971,110.690002,0.00640
4/26/1971,111.129997,0.00400
4/27/1971,111.690002,0.00500
4/28/1971,112.370003,0.00610
4/29/1971,112.459999,0.00080
4/30/1971,112.300003,-0.00140
5/3/1971,111.349998,-0.00850
5/4/1971,111.769997,0.00380
5/5/1971,111.68,-0.00080
5/6/1971,111.059998,-0.00560
5/7/1971,110.660004,-0.00360
5/10/1971,110.150002,-0.00460
5/11/1971,110.330002,0.00160
5/12/1971,110.370003,0.00040
5/13/1971,110.550003,0.00160
5/14/1971,110.739998,0.00170
5/17/1971,109.150002,-0.01440
5/18/1971,108.400002,-0.00690
5/19/1971,108.330002,-0.00060
5/20/1971,108.720001,0.00360
5/21/1971,108.849998,0.00120
5/24/1971,108.419998,-0.00400
5/25/1971,107.5,-0.00850
5/26/1971,107.529999,0.00030
