dates,Close,SandP_Change
1/3/1950,16.66,0.00000
1/4/1950,16.85,0.01140
1/5/1950,16.93,0.00470
1/6/1950,16.98,0.00300
1/9/1950,17.08,0.00590
1/10/1950,17.030001,-0.00290
1/11/1950,17.09,0.00350
1/12/1950,16.76,-0.01930
1/13/1950,16.67,-0.00540
1/16/1950,16.719999,0.00300
1/17/1950,16.860001,0.00840
1/18/1950,16.85,-0.00060
1/19/1950,16.870001,0.00120
1/20/1950,16.9,0.00180
1/23/1950,16.92,0.00120
1/24/1950,16.860001,-0.00350
1/25/1950,16.74,-0.00710
1/26/1950,16.73,-0.00060
1/27/1950,16.82,0.00540
1/30/1950,17.02,0.01190
1/31/1950,17.049999,0.00180
2/1/1950,17.049999,0.00000
2/2/1950,17.23,0.01060
2/3/1950,17.290001,0.00350
2/6/1950,17.32,0.00170
2/7/1950,17.23,-0.00520
2/8/1950,17.209999,-0.00120
2/9/1950,17.280001,0.00410
2/10/1950,17.24,-0.00230
2/14/1950,17.059999,-0.01040
2/15/1950,17.059999,0.00000
2/16/1950,16.99,-0.00410
2/17/1950,17.15,0.00940
2/20/1950,17.200001,0.00290
2/21/1950,17.17,-0.00170
2/23/1950,17.209999,0.00230
2/24/1950,17.280001,0.00410
2/27/1950,17.280001,0.00000
2/28/1950,17.219999,-0.00350
3/1/1950,17.24,0.00120
3/2/1950,17.23,-0.00060
3/3/1950,17.290001,0.00350
3/6/1950,17.32,0.00170
3/7/1950,17.200001,-0.00690
3/8/1950,17.190001,-0.00060
3/9/1950,17.07,-0.00700
3/10/1950,17.09,0.00120
3/13/1950,17.120001,0.00180
3/14/1950,17.25,0.00760
3/15/1950,17.450001,0.01160
3/16/1950,17.49,0.00230
3/17/1950,17.450001,-0.00230
3/20/1950,17.440001,-0.00060
3/21/1950,17.450001,0.00060
3/22/1950,17.549999,0.00570
3/23/1950,17.559999,0.00060
3/24/1950,17.559999,0.00000
3/27/1950,17.459999,-0.00570
3/28/1950,17.530001,0.00400
3/29/1950,17.440001,-0.00510
3/30/1950,17.299999,-0.00800
3/31/1950,17.290001,-0.00060
4/3/1950,17.530001,0.01390
4/4/1950,17.549999,0.00110
4/5/1950,17.629999,0.00460
4/6/1950,17.780001,0.00850
4/10/1950,17.85,0.00390
